Date,Open,High,Low,Close*,Adj Close**,Volume
22-May-20,38.41,38.52,37.69,38.48,38.48,"19,103,409"
1-May-20,37.22,39.63,34.3,38.48,38.48,"444,985,500"
1-Apr-20,28.12,39.08,27.23,38,38,"926,819,700"
1-Mar-20,46.28,47.99,22.88,29.06,28.42,"985,547,400"
1-Feb-20,53.37,55.4,43.52,45.27,44.28,"485,141,300"
1-Jan-20,60.44,61.31,53.16,53.44,52.27,"349,279,400"
1-Dec-19,59.09,62.44,57.8,60.04,56.47,"283,019,400"
1-Nov-19,58.25,61.83,58.09,58.89,55.39,"264,396,800"
1-Oct-19,59.4,60.06,55.64,57.96,54.51,"317,613,800"
1-Sep-19,56.55,63.65,56.38,59.2,55.18,"350,628,200"
1-Aug-19,62.01,62.3,55.55,57.48,53.57,"378,842,600"
1-Jul-19,64.5,64.71,61.74,62.7,58.44,"225,625,800"
1-Jun-19,59.17,63.93,59.08,63.71,58.84,"291,846,100"
1-May-19,66.13,66.33,58.77,58.77,54.28,"333,142,100"
1-Apr-19,66.56,68.81,65.61,66.11,61.06,"252,909,800"
1-Mar-19,65.6,67.42,63.31,66.12,60.59,"306,595,100"
1-Feb-19,64.47,66.93,61.87,65.25,59.79,"209,874,900"
1-Jan-19,56.44,64.08,56.15,63.78,58.45,"333,689,000"
1-Dec-18,67.62,67.99,53.36,57.35,52.07,"477,197,000"
1-Nov-18,67.3,70.37,63.44,66.11,60.02,"403,394,800"
1-Oct-18,76.02,78.36,64.37,67.16,60.97,"434,624,500"
1-Sep-18,74.78,77.01,71.78,75.74,68.29,"231,780,300"
1-Aug-18,76.45,76.5,71.7,74.44,67.12,"256,055,200"
1-Jul-18,75.41,78,73.98,77.12,69.54,"249,231,000"
1-Jun-18,76.28,77.65,73.14,75.94,68.02,"307,137,000"
1-May-18,73.44,79.42,72.43,76.02,68.09,"368,692,400"
1-Apr-18,67.15,74.67,64.93,73.81,66.11,"325,302,000"
1-Mar-18,66.67,69.02,65.65,67.41,59.95,"298,143,200"
1-Feb-18,74.95,75.67,64.45,66.74,59.35,"396,020,700"
1-Jan-18,72.62,78.39,72.39,74.85,66.57,"296,575,500"
1-Dec-17,69.59,72.72,66.69,72.26,63.84,"222,031,900"
1-Nov-17,68.32,70.47,66.91,67.1,59.28,"398,180,100"
1-Oct-17,67.75,68.93,66.34,67.91,59.99,"214,843,500"
1-Sep-17,63.07,68.9,62.91,68.48,59.71,"259,606,700"
1-Aug-17,66.66,66.99,61.8,62.97,54.91,"283,553,400"
1-Jul-17,65.15,67.13,63.29,66.62,58.09,"310,718,600"
1-Jun-17,65.47,67.55,63.64,64.92,56.22,"412,892,800"
1-May-17,67.82,68.87,65.1,65.44,56.67,"336,386,700"
1-Apr-17,70.01,71.49,67.11,67.84,58.75,"282,260,400"
1-Mar-17,72.04,73.14,67.86,69.9,60.17,"382,138,100"
1-Feb-17,73.29,73.78,70.63,71.38,61.45,"246,765,900"
1-Jan-17,76.11,76.81,72.13,72.9,62.75,"227,973,500"
1-Dec-16,75.81,78.45,74.36,75.32,64.5,"290,149,800"
1-Nov-16,69.13,75.12,67,74.43,63.73,"368,265,600"
1-Oct-16,70.73,71.98,68.5,68.62,58.76,"264,801,500"
1-Sep-16,68.22,71.94,66.14,70.61,60.1,"400,166,200"
1-Aug-16,66.79,71,64.57,68.51,58.31,"354,955,200"
1-Jul-16,68.16,69.82,65.69,67.38,57.35,"241,065,400"
1-Jun-16,66.22,70.26,64.11,68.24,57.7,"332,050,300"
1-May-16,67.38,67.92,63.5,66.87,56.54,"290,212,200"
1-Apr-16,60.82,68.82,59.94,67.5,57.08,"377,361,300"
1-Mar-16,56.98,64.28,56.4,61.89,51.96,"497,520,400"
1-Feb-16,57.24,58.52,52.37,56.58,47.5,"584,068,500"
1-Jan-16,60.16,60.78,49.93,58.21,48.87,"614,673,100"
1-Dec-15,68.08,68.62,58.21,60.32,50.19,"554,894,900"
1-Nov-15,67.62,71.93,65.2,68.02,56.6,"320,363,500"
1-Oct-15,61.98,69.67,60.51,68.03,56.6,"438,010,500"
1-Sep-15,64.52,66.44,59.39,61.2,50.55,"377,168,200"
1-Aug-15,68.64,70.74,58.74,66.43,54.87,"486,283,800"
1-Jul-15,75.31,75.34,68.21,69.38,57.31,"318,690,800"
1-Jun-15,78.59,79.11,74.58,75.16,61.67,"243,092,900"
1-May-15,82.76,83.66,77.98,78.39,64.32,"250,016,900"
1-Apr-15,77.83,83.38,77.02,82.68,67.84,"287,119,800"
1-Mar-15,78.86,79.23,73.82,77.58,63.23,"369,338,300"
1-Feb-15,76.48,82.43,75.96,79.02,64.4,"482,396,800"
1-Jan-15,78.73,79.79,71.7,75.55,61.57,"661,937,100"
1-Dec-14,79.39,82.61,72.51,79.16,64.12,"781,838,600"
1-Nov-14,87.48,89.22,79.58,79.82,64.65,"420,955,300"
1-Oct-14,90.61,91.06,77.51,87.42,70.81,"768,998,500"
1-Sep-14,98.6,98.69,90.06,90.62,73.02,"262,542,000"
1-Aug-14,96.36,98.87,94.49,98.74,79.56,"185,743,000"
1-Jul-14,100.35,100.97,96.56,96.63,77.86,"185,253,500"
1-Jun-14,95.4,101.52,94.92,100.1,80.29,"181,265,500"
1-May-14,93.61,95.43,92.93,95.31,76.45,"159,239,500"
1-Apr-14,89.09,94.66,88.22,93.74,75.19,"236,318,700"
1-Mar-14,87.12,89.59,85.97,89.06,71.08,"209,073,300"
1-Feb-14,83.3,88.48,81.78,87.65,69.96,"258,023,600"
1-Jan-14,87.98,88.24,83.03,83.38,66.55,"265,078,800"
1-Dec-13,86.53,88.54,84.74,88.51,70.32,"223,098,900"
1-Nov-13,86.36,88.24,85,86.44,68.67,"191,308,800"
1-Oct-13,82.68,87.62,81.31,86.39,68.63,"242,185,700"
1-Sep-13,82.39,85.74,81.77,82.91,65.56,"173,557,100"
1-Aug-13,83.09,83.85,79.83,81.57,64.5,"187,728,600"
1-Jul-13,78.79,83.96,78.35,82.42,65.18,"202,353,100"
1-Jun-13,80.8,81.9,76.02,78.3,61.62,"273,290,600"
1-May-13,77.6,83.95,76.96,80.5,63.35,"262,859,500"
1-Apr-13,79.31,79.62,73.52,78.27,61.6,"304,250,000"
1-Mar-13,77.38,80.14,76.85,79.31,62.14,"177,628,200"
1-Feb-13,77.76,79.51,75.46,77.69,60.87,"199,333,200"
1-Jan-13,72.95,78.59,72,77.35,60.6,"195,100,300"
1-Dec-12,71.6,73.39,69.57,71.42,55.67,"198,245,000"
1-Nov-12,71.66,73.06,67.77,71.06,55.39,"234,855,900"
1-Oct-12,73.94,75.19,71.02,71.94,56.08,"236,902,800"
1-Sep-12,71.46,77.35,70.4,73.43,56.99,"206,863,800"
1-Aug-12,69.91,73.03,68.16,71.53,55.51,"212,709,700"
1-Jul-12,66.37,70.68,64.64,69.65,54.05,"291,007,200"
1-Jun-12,62.35,66.5,61.11,66.37,51.26,"344,107,700"
1-May-12,71.38,72.77,62.54,63.63,49.14,"378,774,200"
1-Apr-12,71.57,72.99,67.68,71.24,55.02,"276,668,900"
1-Mar-12,75.21,75.76,70.17,71.75,55.2,"322,026,400"
1-Feb-12,71.33,76.5,70.82,74.88,57.61,"278,565,200"
1-Jan-12,70.6,73.16,68.74,70.69,54.39,"289,250,700"
1-Dec-11,70.68,72.17,64.8,69.13,52.96,"298,820,600"
1-Nov-11,66.98,72.9,63.83,70.87,54.29,"430,419,400"
1-Oct-11,57.84,73.19,54.26,69.71,53.41,"500,005,200"
1-Sep-11,68.75,69.65,57.95,58.51,44.65,"534,809,900"
1-Aug-11,77.8,77.85,61.1,68.64,52.38,"785,263,500"
1-Jul-11,75.19,79.97,74.55,76.45,58.34,"358,764,200"
1-Jun-11,76.92,77.25,70.45,75.35,57.29,"516,569,900"
1-May-11,80.65,80.8,72.28,77.11,58.63,"569,581,000"
1-Apr-11,80.45,80.9,75.19,80.48,61.19,"338,542,000"
1-Mar-11,79,80.97,72.9,79.75,60.43,"413,631,600"
1-Feb-11,73.44,78.69,71.22,78.54,59.51,"318,369,100"
1-Jan-11,68.9,73.15,67.49,73.15,55.43,"299,608,500"
1-Dec-10,63.74,68.5,63.74,68.25,51.49,"229,401,100"
1-Nov-10,59.83,63.89,59.07,62.71,47.31,"347,299,600"
1-Oct-10,56.6,60.29,55.68,59.24,44.69,"284,559,500"
1-Sep-10,52.05,56.75,51.97,56.06,42.1,"308,127,200"
1-Aug-10,54.85,56.31,50.33,51.2,38.45,"319,719,700"
1-Jul-10,49.85,54.72,48.56,53.84,40.43,"323,089,600"
1-Jun-10,52.17,56.7,49.57,49.68,37.14,"493,543,000"
1-May-10,60.17,61.07,50.15,53.05,39.66,"634,741,300"
1-Apr-10,58.09,62.3,58.04,59.91,44.79,"429,168,600"
1-Mar-10,56.4,59.42,55.72,57.52,42.85,"403,215,500"
1-Feb-10,55.15,57.56,52.67,56.14,41.82,"437,318,700"
1-Jan-10,57.92,60.87,54.22,54.5,40.6,"396,907,400"
1-Dec-09,57.58,58.26,54.17,57.01,42.24,"324,603,500"
1-Nov-09,55.64,59.13,54.69,56.82,42.1,"388,171,300"
1-Oct-09,53.9,60.56,51.34,55.25,40.93,"487,791,200"
1-Sep-09,51.02,56.28,49.91,53.92,39.77,"382,857,800"
1-Aug-09,51.49,53.46,48.74,51.17,37.74,"353,752,200"
1-Jul-09,48.58,51.67,43.66,50.62,37.34,"486,007,800"
1-Jun-09,52.68,57.71,46.31,48.05,35.26,"513,829,100"
1-May-09,45.96,52.35,45.74,51.68,37.93,"452,274,600"
1-Apr-09,41.5,47.75,41.47,45.78,33.6,"464,059,600"
1-Mar-09,40.19,46.65,37.4,42.46,31,"829,776,000"
1-Feb-09,45.94,50.77,40.28,41.13,30.03,"755,773,300"
1-Jan-09,48.2,53.19,43.96,46.92,34.26,"845,359,300"
1-Dec-08,48.25,50.79,40.53,47.77,34.7,"777,758,400"
1-Nov-08,50.6,53.3,39.82,50.28,36.52,"875,175,200"
1-Oct-08,62.7,69.92,38.84,51.4,37.33,"1,369,309,600"
1-Sep-08,72.1,78.1,59.13,63.3,45.83,"1,015,421,500"
1-Aug-08,74.45,76.91,68.35,74.65,54.05,"723,578,600"
1-Jul-08,88.17,90.16,71.85,74.4,53.87,"850,202,500"
1-Jun-08,85.58,89.72,83.39,88.48,63.89,"637,709,600"
1-May-08,80.72,91.42,78.43,86,62.1,"565,475,400"
1-Apr-08,73.8,85.29,73.35,81.75,59.03,"466,347,800"
1-Mar-08,76.1,77.73,68.85,74.06,53.33,"534,668,200"
1-Feb-08,70.52,79.02,66.93,76.05,54.76,"446,371,500"
1-Jan-08,79.95,80.75,62.97,69.6,50.11,"611,609,700"
1-Dec-07,72.88,80.6,72.88,79.35,56.99,"338,488,100"
1-Nov-07,75.57,77.75,69.61,73.47,52.77,"510,613,800"
1-Oct-07,74.75,78.5,72.67,76.7,55.08,"486,212,900"
1-Sep-07,69.6,76.3,68.78,74.8,53.58,"347,598,700"
1-Aug-07,68.67,70.3,62.73,69.83,50.02,"619,540,900"
1-Jul-07,69.11,74.73,68.11,69,49.42,"519,811,400"
1-Jun-07,68.64,71.45,66.79,68.99,49.27,"405,407,800"
1-May-07,63.44,69.07,62.98,68.3,48.78,"454,866,200"
1-Apr-07,60.26,64.75,60.19,63.37,45.26,"353,589,200"
1-Mar-07,56.32,61.16,54.94,60.28,42.91,"570,962,300"
1-Feb-07,58.1,59.53,56.45,56.9,40.51,"416,980,800"
1-Jan-07,58.31,58.39,53.89,58.09,41.35,"650,083,100"
1-Dec-06,60.11,62.13,58.19,58.63,41.61,"362,478,200"
1-Nov-06,55.62,60.83,54.72,60.51,42.95,"450,946,200"
1-Oct-06,53.22,57.45,50.2,55.73,39.56,"565,978,700"
1-Sep-06,56,57.27,50.17,53.45,37.81,"517,274,100"
1-Aug-06,58.54,59.88,55.54,55.67,39.38,"363,097,400"
1-Jul-06,57.05,58.98,54.25,58.65,41.49,"367,825,600"
1-Jun-06,55,57.18,50.01,56.75,39.99,"676,643,200"
1-May-06,57.55,60.15,52.15,55.55,39.15,"557,877,800"
1-Apr-06,54.75,59.85,54.25,57.14,40.27,"424,460,600"
1-Mar-06,52.74,55.7,50.55,54.4,38.22,"511,031,000"
1-Feb-06,57.49,58.07,51.09,52.34,36.78,"554,313,800"
1-Jan-06,50.63,58.28,50.63,57.66,40.52,"445,269,600"
1-Dec-05,49.95,53.19,49.46,50.31,35.26,"362,386,100"
1-Nov-05,48.56,51.34,46.73,49.55,34.73,"421,911,900"
1-Oct-05,54.05,54.3,44.94,48.82,34.21,"597,461,500"
1-Sep-05,51.3,54.65,50.44,53.67,37.51,"307,291,200"
1-Aug-05,47.82,50.89,46.87,50.64,35.39,"302,465,300"
1-Jul-05,44.51,48.48,44.51,47.6,33.26,"283,648,100"
1-Jun-05,41.92,46.15,41.81,44.45,30.97,"285,274,700"
1-May-05,40.49,42.09,37.94,41.68,29.04,"318,560,300"
1-Apr-05,43.43,44.48,39.41,40.55,28.25,"366,081,900"
1-Mar-05,43.75,45.14,40.78,42.87,29.77,"252,411,200"
1-Feb-05,37.76,44.75,37.71,43.85,30.45,"90,268,200"
1-Jan-05,36.1,37.71,34.54,37.55,26.07,"77,167,200"
1-Dec-04,37.4,37.53,34.76,36.32,25.13,"71,242,100"
1-Nov-04,35.35,37.9,34.32,37.51,25.95,"77,605,300"
1-Oct-04,35.05,36.83,34.35,35.14,24.31,"66,058,100"
1-Sep-04,32,35.28,31.96,34.93,24.07,"47,898,000"
1-Aug-04,32.5,32.85,30.56,31.95,22.02,"48,803,700"
1-Jul-04,31.6,32.73,31.31,32.45,22.36,"24,797,700"
1-Jun-04,30.03,31.99,29.54,31.48,21.61,"39,628,800"
1-May-04,29.93,30.8,28.65,29.75,20.42,"36,946,800"
1-Apr-04,29.39,31.04,28.91,29.84,20.48,"25,964,500"
1-Mar-04,29.87,30.48,28.01,29.34,20.05,"22,773,100"
1-Feb-04,28.24,29.75,27.52,29.65,20.26,"14,154,400"
1-Jan-04,27.81,29.11,27.4,28.17,19.25,"21,490,000"
1-Dec-03,24.59,28,24.5,27.55,18.74,"14,588,400"
1-Nov-03,24.32,24.71,23.9,24.47,16.65,"4,802,200"
1-Oct-03,24,25.08,23.76,24.28,16.52,"6,555,900"
1-Sep-03,24.61,25.05,23.75,24.05,16.28,"5,283,600"
1-Aug-03,23.25,24.7,22.73,24.68,16.71,"8,117,500"
1-Jul-03,23.89,24.11,22.92,23.2,15.71,"6,841,400"
1-Jun-03,24.6,25.8,24.05,24.05,16.2,"7,342,300"
1-May-03,22.32,24.64,21.98,24.48,16.49,"11,640,100"
1-Apr-03,22.35,22.78,21.81,22.13,14.91,"9,953,800"
1-Mar-03,22.36,22.85,21.45,22.32,14.96,"14,874,300"
1-Feb-03,21.8,22.83,21.06,22.41,15.02,"8,332,200"
1-Jan-03,22.45,23.07,20.46,21.77,14.59,"8,272,700"
1-Dec-02,22.53,23.38,21.95,22.33,14.89,"6,810,800"
1-Nov-02,21.55,22.56,20.8,22.44,14.96,"3,982,100"
1-Oct-02,21.2,22.86,20.19,21.55,14.37,"7,631,100"
1-Sep-02,22.4,23.26,20.51,21.16,14.03,"4,293,500"
1-Aug-02,22.18,23.99,20.12,22.91,15.19,"5,151,900"
1-Jul-02,26.26,26.35,19.38,22.57,14.97,"13,229,800"
1-Jun-02,27.25,27.25,25.25,26.2,17.27,"4,299,400"
1-May-02,27.65,28.5,26.78,27.36,18.04,"5,860,200"
1-Apr-02,29.05,29.52,27.03,27.85,18.36,"8,995,000"
1-Mar-02,26.98,29.25,26.72,28.89,18.98,"8,185,500"
1-Feb-02,25.77,27,24.83,26.63,17.5,"11,707,000"
1-Jan-02,26.7,28,23.2,25.75,16.92,"5,965,000"
1-Dec-01,25.23,27.22,24.7,26.7,17.47,"6,896,300"
1-Nov-01,26.79,27.53,24,25.36,16.59,"24,805,800"
1-Oct-01,25.6,28.9,25.03,26.86,17.57,"11,513,200"
1-Sep-01,28.74,29.32,23.75,25.82,16.8,"11,451,900"
1-Aug-01,30.35,30.48,28.5,28.73,18.69,"5,719,600"
1-Jul-01,30.2,30.72,28.25,30,19.52,"5,077,900"
1-Jun-01,33.5,34.03,29.84,30.35,19.65,"6,929,900"
1-May-01,33.58,34.9,31.81,33.55,21.73,"9,348,600"
1-Apr-01,30.5,34.24,29.05,33.87,21.93,"4,746,100"
1-Mar-01,31.85,34.35,29.45,30.7,19.82,"6,845,600"
1-Feb-01,32.13,34.04,31.55,31.74,20.49,"4,613,800"
1-Jan-01,33.75,34.11,30.19,32.13,20.74,"4,092,000"
1-Dec-00,30.25,33.94,30.13,33.19,21.36,"5,079,100"
1-Nov-00,32.13,33.13,29.91,30.2,19.44,"7,471,000"
1-Oct-00,32.94,34.75,30.88,31.88,20.52,"14,760,000"
1-Sep-00,32.28,34.47,31,32.77,21,"17,712,900"
1-Aug-00,29.44,33.38,29.44,32.38,20.75,"3,902,900"
1-Jul-00,30.19,31.05,28.28,29.19,18.71,"4,206,700"
1-Jun-00,32.16,32.5,30.09,30.34,19.35,"4,563,100"
1-May-00,29.19,32.31,29,32.27,20.58,"5,148,800"
1-Apr-00,29.5,30.16,27.52,28.88,18.42,"5,818,900"
1-Mar-00,26.02,30.22,25.94,29.31,18.63,"8,607,600"
1-Feb-00,27.31,27.61,24.63,26.16,16.63,"4,213,000"
1-Jan-00,27.31,29.47,25.88,27.31,17.36,"5,903,600"
1-Dec-99,26.94,28,26.16,27.09,17.17,"6,257,400"
1-Nov-99,27.06,29.19,25.38,26.98,17.1,"2,711,600"
1-Oct-99,27.5,27.7,25.69,27.03,17.13,"3,291,300"
1-Sep-99,28.89,30.31,26.25,27.44,17.31,"3,957,600"
1-Aug-99,28.39,30.17,27.95,28.89,18.23,"4,458,600"
1-Jul-99,28.13,29.38,27.59,28.58,18.03,"970,400"
1-Jun-99,27.56,29.38,27.02,28.05,17.61,"3,195,400"
1-May-99,28.25,29.13,27.02,27.63,17.34,"4,966,300"
1-Apr-99,24.63,28.88,24.3,28.23,17.73,"5,284,700"
1-Mar-99,21.67,25.69,21.09,24.59,15.38,"6,328,000"
1-Feb-99,21.81,23.22,21.53,21.63,13.53,"1,579,500"
1-Jan-99,23.28,24.56,21.44,21.81,13.64,"1,070,900"
1-Dec-98,23.31,23.81,23.19,23.34,14.6,"165,600"
