Year-Month of Sale,Total Auto Sales
2005-01,1052224
2005-02,1244753
2005-03,1564938
2005-04,1493837
2005-05,1488171
2005-06,1671401
2005-07,1795944
2005-08,1474130
2005-09,1321156
2005-10,1139217
2005-11,1160447
2005-12,1475649
2006-01,1136538
2006-02,1253271
2006-03,1519952
2006-04,1439311
2006-05,1478735
2006-06,1487688
2006-07,1480504
2006-08,1478072
2006-09,1342543
2006-10,1205973
2006-11,1188344
2006-12,1419758
2007-01,1079891
2007-02,1244375
2007-03,1528582
2007-04,1326837
2007-05,1550609
2007-06,1433282
2007-07,1302661
2007-08,1467601
2007-09,1305275
2007-10,1221485
2007-11,1170035
2007-12,1377542
2008-01,1036540
2008-02,1162277
2008-03,1339158
2008-04,1237336
2008-05,1383754
2008-06,1176765
2008-07,1126477
2008-08,1240785
2008-09,959127
2008-10,829396
2008-11,737978
2008-12,884306
2009-01,650608
2009-02,681676
2009-03,847002
2009-04,822746
2009-05,919295
2009-06,850654
2009-07,991950
2009-08,1254982
2009-09,740394
2009-10,832953
2009-11,741826
2009-12,1013629
2010-01,693531
2010-02,774108
2010-03,1059134
2010-04,976345
2010-05,1096910
2010-06,978154
2010-07,1045915
2010-08,993211
2010-09,953837
2010-10,940740
2010-11,863198
2010-12,1135333
2011-01,815408
2011-02,987265
2011-03,1238252
2011-04,1149240
2011-05,1052417
2011-06,1044037
2011-07,1055231
2011-08,1067895
2011-09,1048158
2011-10,1015016
2011-11,986664
2011-12,1236129
2012-01,909806
2012-02,2115420
2012-03,1398128
2012-04,1177478
2012-05,1327521
2012-06,1276629
2012-07,1141761
2012-08,1274193
2012-09,1183825
2012-10,1085804
2012-11,1137862
2012-12,1347837
2013-01,1037967
2013-02,1185746
2013-03,1444773
2013-04,1276318
2013-05,1434096
2013-06,1396038
2013-07,1306885
2013-08,1494273
2013-09,1128124
2013-10,1198989
2013-11,1236413
2013-12,1350623
2014-01,1006049
2014-02,1186038
2014-03,1529348
2014-04,1381300
2014-05,1598730
2014-06,1412565
2014-07,1427029
2014-08,1575971
2014-09,1239405
2014-10,1275657
2014-11,1291817
2014-12,1500108
2015-01,1149107
2015-02,1254709
2015-03,1540724
2015-04,1449812
2015-05,1629328
2015-06,1471074
2015-07,1507307
2015-08,1568896
2015-09,1435728
2015-10,1449359
2015-11,1313000
2015-12,1635926
2016-01,1147705
2016-02,1340801
2016-03,1590701
2016-04,1501379
2016-05,1520463
2016-06,1508662
2016-07,1517151
2016-08,1508095
2016-09,1428354
2016-10,1368064
2016-11,1375086
2016-12,1694258
2017-01,1140841
2017-02,1331716
2017-03,1553142
2017-04,1424793
2017-05,1517197
2017-06,1472495
2017-07,1415051
2017-08,1480526
2017-09,1523050
2017-10,1353586
2017-11,1397105
2017-12,1603063
2018-01,1156581
2018-02,1305932
2018-03,1657716
2018-04,1364619
2018-05,1576158
2018-06,1549950
2018-07,1373655
2018-08,1500121
2018-09,1440820
2018-10,1393137
2018-11,1399187
2018-12,1605973
2019-01,1172653
2019-02,1257589
2019-03,1552126
2019-04,1355548
2019-05,1606260
2019-06,1462664
2019-07,1417418
2019-08,1628577
2019-09,1282712
2019-10,1384010
2019-11,1445173
2019-12,1459164
2020-01,1147041
2020-02,1425494
2020-03,903194
2020-04,168850